1099,Two Sum Less Than K,60.40%,Easy
1108,Defanging an IP Address,86.40%,Easy
1113,Reported Posts,62.60%,Easy
1118,Number of Days in a Month,57.00%,Easy
1119,Remove Vowels from a String,89.10%,Easy
1122,Relative Sort Array,67.30%,Easy
1128,Number of Equivalent Domino Pairs,47.30%,Easy
1133,Largest Unique Number,66.80%,Easy
1134,Armstrong Number,78.00%,Easy
1141,User Activity for the Past 30 Days I,54.10%,Easy
1142,User Activity for the Past 30 Days II,34.80%,Easy
1148,Article Views I,75.40%,Easy
1150,Check If a Number Is Majority Element in a Sorted Array,60.10%,Easy
1154,Day of the Year,48.70%,Easy
1160,Find Words That Can Be Formed by Characters,67.30%,Easy
1165,Single-Row Keyboard,84.60%,Easy
1170,Compare Strings by Frequency of the Smallest Character,58.50%,Easy
1173,Immediate Food Delivery I,78.70%,Easy
1175,Prime Arrangements,50.60%,Easy
1176,Diet Plan Performance,53.20%,Easy
1180,Count Substrings with Only One Distinct Letter,76.80%,Easy
1185,Day of the Week,64.50%,Easy
1189,Maximum Number of Balloons,61.00%,Easy
1196,How Many Apples Can You Put into the Basket,68.00%,Easy
1207,Unique Number of Occurrences,71.20%,Easy
1211,Queries Quality and Percentage,68.40%,Easy
1213,Intersection of Three Sorted Arrays,78.20%,Easy
1217,Play with Chips,64.10%,Easy
1221,Split a String in Balanced Strings,81.80%,Easy
1228,Missing Number In Arithmetic Progression,53.20%,Easy
1232,Check If It Is a Straight Line,46.70%,Easy
1237,Find Positive Integer Solution for a Given Equation,68.20%,Easy
1241,Number of Comments per Post,69.20%,Easy
1243,Array Transformation,51.80%,Easy
1251,Average Selling Price,79.90%,Easy
1252,Cells with Odd Values in a Matrix,78.00%,Easy
1266,Minimum Time Visiting All Points,79.30%,Easy
1271,Hexspeak,53.20%,Easy
1275,Find Winner on a Tic Tac Toe Game,53.20%,Easy
1279,Traffic Light Controlled Intersection,75.00%,Easy
1280,Students and Examinations,70.30%,Easy
1281,Subtract the Product and Sum of Digits of an Integer,84.70%,Easy
1287,Element Appearing More Than 25% In Sorted Array,59.70%,Easy
1290,Convert Binary Number in a Linked List to Integer,79.60%,Easy
1294,Weather Type in Each Country,63.50%,Easy
1295,Find Numbers with Even Number of Digits,84.60%,Easy
1299,Replace Elements with Greatest Element on Right Side,78.20%,Easy
1303,Find the Team Size,85.90%,Easy
1304,Find N Unique Integers Sum up to Zero,76.20%,Easy
1309,Decrypt String from Alphabet to Integer Mapping,76.20%,Easy
1313,Decompress Run-Length Encoded List,84.60%,Easy
1317,Convert Integer to the Sum of Two No-Zero Integers,56.90%,Easy
1322,Ads Performance,57.70%,Easy
1323,Maximum 69 Number,78.10%,Easy
1327,List the Products Ordered in a Period,74.30%,Easy
1331,Rank Transform of an Array,58.60%,Easy
1332,Remove Palindromic Subsequences,57.40%,Easy
1337,The K Weakest Rows in a Matrix,68.60%,Easy
1342,Number of Steps to Reduce a Number to Zero,86.20%,Easy
1346,Check If N and Its Double Exist,40.70%,Easy
1350,Students With Invalid Departments,90.40%,Easy
1351,Count Negative Numbers in a Sorted Matrix,77.80%,Easy
1356,Sort Integers by The Number of 1 Bits,69.00%,Easy
1360,Number of Days Between Two Dates,48.60%,Easy
1365,How Many Numbers Are Smaller Than the Current Number,84.60%,Easy
1370,Increasing Decreasing String,76.40%,Easy
1374,Generate a String With Characters That Have Odd Counts,76.20%,Easy
1378,Replace Employee ID With The Unique Identifier,91.40%,Easy
1380,Lucky Numbers in a Matrix,72.70%,Easy
1385,Find the Distance Value Between Two Arrays,69.70%,Easy
1389,Create Target Array in the Given Order,82.20%,Easy
1394,Find Lucky Integer in an Array,68.70%,Easy
1399,Count Largest Group,63.00%,Easy
1403,Minimum Subsequence in Non-Increasing Order,72.20%,Easy
1407,Top TravellersNew,73.50%,Easy
1,Two Sum,45.20%,Easy
7,Reverse Integer,25.60%,Easy
9,Palindrome Number,47.10%,Easy
21,Merge Two Sorted Lists,51.90%,Easy
26,Remove Duplicates from Sorted Array,43.80%,Easy
27,Remove Element,47.30%,Easy
53,Maximum Subarray,45.90%,Easy
70,Climbing Stairs,46.40%,Easy
88,Merge Sorted Array,38.50%,Easy
100,Same Tree,52.10%,Easy
104,Maximum Depth of Binary Tree,64.50%,Easy
107,Binary Tree Level Order Traversal II,50.50%,Easy
108,Convert Sorted Array to Binary Search Tree,55.80%,Easy
110,Balanced Binary Tree,42.80%,Easy
111,Minimum Depth of Binary Tree,36.80%,Easy
112,Path Sum,40.20%,Easy
121,Best Time to Buy and Sell Stock,49.70%,Easy
122,Best Time to Buy and Sell Stock II,55.60%,Easy
125,Valid Palindrome,34.60%,Easy
141,Linked List Cycle,40.00%,Easy
160,Intersection of Two Linked Lists,38.50%,Easy
175,Combine Two Tables,58.50%,Easy
176,Second Highest Salary,30.50%,Easy
